,Date,ID,ndc
473,2022-07-07,MSU15158,2
474,2022-07-07,MSU18006,1
475,2022-07-07,MSU17340,1
476,2022-07-07,MSU17958,1
477,2022-07-07,MSU17357,1
478,2022-07-07,MSU15084,2
479,2022-07-07,MSU15050,2
480,2022-07-07,MSU18066,2
481,2022-07-07,MSU03789,1
482,2022-07-07,MSU15116,1
483,2022-07-07,MSU17368,1
484,2022-07-07,MSU18072,1
485,2022-07-07,MSU18059,1
486,2022-07-07,MSU17534,1
487,2022-07-07,MSU17714,1
488,2022-07-07,MSU17546,1
489,2022-07-07,MSU18076,1
490,2022-07-07,MSU17438,1
491,2022-07-07,MSU17378,1
492,2022-07-07,MSU15108,1
493,2022-07-07,MSU18045,1
494,2022-07-07,MSU17313,1
495,2022-07-07,MSU17970,1
496,2022-07-07,MSU18023,1
497,2022-07-07,MSU18081,1
498,2022-07-07,MSU17639,1
499,2022-07-07,MSU17993,1
500,2022-07-07,MSU17858,1
501,2022-07-07,MSU18061,1
502,2022-07-07,MSU18002,1
503,2022-07-07,MSU17646,1
504,2022-07-07,MSU17969,1
505,2022-07-07,MSU17875,1
506,2022-07-07,MSU15504,1
507,2022-07-07,MSU17463,1
508,2022-07-07,MSU17759,1
509,2022-07-07,MSU17349,1
510,2022-07-07,MSU17711,1
511,2022-07-07,MSU17833,1
512,2022-07-07,MSU17836,1
513,2022-07-07,MSU16312,1
514,2022-07-07,MSU18037,1
515,2022-07-07,MSU17922,1
516,2022-07-07,MSU17209,1
517,2022-07-07,MSU17053,1
518,2022-07-07,MSU18040,1
519,2022-07-07,MSU15078,1
520,2022-07-07,MSU15418,1
521,2022-07-07,MSU15162,1
522,2022-07-07,MSU13023,1
523,2022-07-07,MSU15087,1
524,2022-07-07,MSU18010,1
525,2022-07-07,MSU18020,1
526,2022-07-07,MSU18039,1
527,2022-07-07,MSU17843,1
528,2022-07-07,MSU17871,1
529,2022-07-07,MSU13011,1
530,2022-07-07,MSU17829,1
531,2022-07-07,MSU15360,1
532,2022-07-07,MSU15037,1
533,2022-07-07,MSU17306,1
534,2022-07-07,MSU15090,1
535,2022-07-07,MSU16236,1
536,2022-07-07,MSU15092,1
537,2022-07-07,MSU17510,1
538,2022-07-07,MSU17633,1
539,2022-07-07,MSU17828,1
540,2022-07-07,MSU17650,1
541,2022-07-07,MSU17328,1
542,2022-07-07,MSU15089,1
543,2022-07-07,MSU17382,1
544,2022-07-07,MSU15107,1
545,2022-07-07,MSU16258,1
546,2022-07-07,MSU15102,1
547,2022-07-07,MSU15093,1
548,2022-07-07,MSU15261,1
549,2022-07-07,MSU15424,1
550,2022-07-07,MSU15059,1
551,2022-07-07,MSU16301,1
552,2022-07-07,MSU16325,1
553,2022-07-07,MSU15079,1
554,2022-07-07,MSU17953,1
555,2022-07-07,MSU17311,1
556,2022-07-07,MSU15058,1
557,2022-07-07,MSU17467,1
558,2022-07-07,MSU15114,1
559,2022-07-07,MSU17331,1
560,2022-07-07,MSU15371,1
561,2022-07-07,MSU15080,1
562,2022-07-07,MSU17957,1
563,2022-07-07,MSU17394,2
564,2022-07-07,MSU16260,1
