MSU20487	1/4/2023	0.544
MSU20866	12/2/2022	0.541
MSU20746	12/15/2022	0.543
MSU20552	12/29/2022	0.545
MSU20546	1/4/2023	0.546
MSU20567	12/27/2022	0.546
MSU20797	12/27/2022	0.545
MSU20542	12/30/2022	0.547
MSU20634	12/27/2022	0.545
MSU20875	12/2/2022	0.551
MSU22482	11/22/2022	0.546
MSU20522	12/29/2022	0.543
MSU22654	12/14/2022	0.543
MSU20077	1/5/2023	0.542
MSU20551	1/3/2023	0.547
MSU20833	12/14/2022	0.548
MSU22588	12/2/2022	0.541
MSU20898	11/8/2022	0.550
MSU22565	12/2/2022	0.546
MSU20870	12/2/2022	0.552
MSU22354	11/23/2022	0.551
MSU20782	1/6/2023	0.543
MSU20812	12/27/2022	0.544
MSU22323	11/29/2022	0.548
MSU21946	11/4/2022	0.541
MSU22538	11/21/2022	0.543
MSU22402	11/17/2022	0.541
MSU22253	11/14/2022	0.541
MSU22439	11/18/2022	0.545
MSU22029	11/9/2022	0.541
MSU22115	11/9/2022	0.545
MSU20894	11/8/2022	0.544
