,Date,ID,ndc
4441,2022-04-22,MSU16486,2
4442,2022-04-22,MSU16612,2
4443,2022-04-22,MSU16544,3
4444,2022-04-22,MSU16055,2
4445,2022-04-22,MSU16521,2
4446,2022-04-22,MSU16671,2
4447,2022-04-22,MSU15363,3
4448,2022-04-22,MSU16727,2
4449,2022-04-22,MSU14995,2
4450,2022-04-22,MSU15403,3
4451,2022-04-22,MSU16706,2
4452,2022-04-22,MSU15018,2
4453,2022-04-22,MSU15801,2
4454,2022-04-22,MSU16657,2
4455,2022-04-22,MSU16600,4
4456,2022-04-22,MSU16692,1
4457,2022-04-22,MSU15733,1
4458,2022-04-22,MSU15697,3
4459,2022-04-22,MSU15898,1
4460,2022-04-22,MSU16421,1
4461,2022-04-22,MSU16445,1
4462,2022-04-22,MSU16561,1
4463,2022-04-22,MSU14918,1
4464,2022-04-22,MSU16631,3
4465,2022-04-22,MSU16422,5
4466,2022-04-22,MSU16734,2
4467,2022-04-22,MSU16418,2
4468,2022-04-22,MSU16406,2
4469,2022-04-22,MSU16441,2
4470,2022-04-22,MSU16550,2
4471,2022-04-22,MSU16686,4
4472,2022-04-22,MSU16016,2
4473,2022-04-22,MSU16662,2
4474,2022-04-22,MSU16264,2
4475,2022-04-22,MSU16089,3
4476,2022-04-22,MSU15730,2
4477,2022-04-22,MSU16745,2
4478,2022-04-22,MSU16582,2
4479,2022-04-22,MSU16588,3
4480,2022-04-22,MSU16510,2
4481,2022-04-22,MSU15724,2
4482,2022-04-22,MSU16473,1
4483,2022-04-22,MSU16154,3
4484,2022-04-22,MSU15414,1
4485,2022-04-22,MSU16101,1
4486,2022-04-22,MSU15278,3
4487,2022-04-22,MSU16526,3
4488,2022-04-22,MSU15795,1
4489,2022-04-22,MSU15658,1
4490,2022-04-22,MSU15829,3
4491,2022-04-22,MSU16668,1
4492,2022-04-22,MSU16652,1
4493,2022-04-22,MSU16523,1
4494,2022-04-22,MSU16002,1
4495,2022-04-22,MSU16126,3
4496,2022-04-22,MSU16678,1
4497,2022-04-22,MSU15584,1
4498,2022-04-22,MSU16124,1
4499,2022-04-22,MSU15358,1
4500,2022-04-22,MSU16176,1
4501,2022-04-22,MSU16478,3
4502,2022-04-22,MSU16707,1
4503,2022-04-22,MSU16537,1
4504,2022-04-22,MSU16419,1
4505,2022-04-22,MSU16595,1
4506,2022-04-22,MSU15976,1
4507,2022-04-22,MSU16628,3
4508,2022-04-22,MSU15723,1
4509,2022-04-22,MSU16468,2
4510,2022-04-22,MSU16167,3
4511,2022-04-22,MSU16292,1
4512,2022-04-22,MSU15693,1
4513,2022-04-22,MSU15679,1
4514,2022-04-22,MSU16645,1
4515,2022-04-22,MSU16621,1
4516,2022-04-22,MSU16459,3
4517,2022-04-22,MSU16547,3
4518,2022-04-22,MSU16516,3
4519,2022-04-22,MSU15721,1
4520,2022-04-22,MSU15671,1
4521,2022-04-22,MSU15450,3
4522,2022-04-22,MSU16622,1
4523,2022-04-22,MSU16774,3
4524,2022-04-22,MSU16597,4
4525,2022-04-22,MSU16520,3
4526,2022-04-22,MSU16698,1
4527,2022-04-22,MSU16144,1
4528,2022-04-22,MSU16573,5
4529,2022-04-22,MSU15308,1
4530,2022-04-22,MSU16522,1
4531,2022-04-22,MSU14984,1
4532,2022-04-22,MSU16462,1
4533,2022-04-22,MSU16739,2
4534,2022-04-22,MSU14909,1
4535,2022-04-22,MSU13051,1
4536,2022-04-22,MSU15146,1
4537,2022-04-22,MSU16433,1
4538,2022-04-22,MSU16816,1
4539,2022-04-22,MSU16594,2
4540,2022-04-22,MSU15793,1
4541,2022-04-22,MSU15700,1
4542,2022-04-22,MSU16814,2
4543,2022-04-22,MSU16434,1
4544,2022-04-22,MSU16606,1
4545,2022-04-22,MSU16827,1
4546,2022-04-22,MSU16709,1
4547,2022-04-22,MSU16096,1
4548,2022-04-22,MSU16865,4
4549,2022-04-22,MSU16860,5
4550,2022-04-22,MSU16861,1
4551,2022-04-22,MSU16877,1
4552,2022-04-22,MSU16756,1
4553,2022-04-22,MSU16859,2
4554,2022-04-22,MSU16750,1
4555,2022-04-22,MSU16808,1
4556,2022-04-22,MSU16866,3
4557,2022-04-22,MSU16828,2
4558,2022-04-22,MSU16873,2
4559,2022-04-22,MSU16164,1
4560,2022-04-22,MSU15802,2
4561,2022-04-22,MSU16738,1
4562,2022-04-22,MSU15683,1
4563,2022-04-22,MSU16542,1
4564,2022-04-22,MSU16566,1
4565,2022-04-22,MSU15873,1
4566,2022-04-22,MSU16562,1
4567,2022-04-22,MSU16753,1
4568,2022-04-22,MSU14860,1
4569,2022-04-22,MSU16634,1
4570,2022-04-22,MSU16448,3
4571,2022-04-22,MSU15585,1
4572,2022-04-22,MSU16574,1
4573,2022-04-22,MSU16202,1
4574,2022-04-22,MSU16708,1
4575,2022-04-22,MSU16570,1
4576,2022-04-22,MSU15838,5
4577,2022-04-22,MSU16675,1
4578,2022-04-22,MSU16483,1
4579,2022-04-22,MSU16536,1
4580,2022-04-22,MSU16596,1
4581,2022-04-22,MSU16659,1
4582,2022-04-22,MSU16705,1
4583,2022-04-22,MSU16694,1
4584,2022-04-22,MSU16704,1
4585,2022-04-22,MSU16439,2
4586,2022-04-22,MSU16758,1
4587,2022-04-22,MSU16593,1
4588,2022-04-22,MSU16769,2
4589,2022-04-22,MSU16830,1
4590,2022-04-22,MSU16616,1
4591,2022-04-22,MSU16748,1
4592,2022-04-22,MSU16831,1
4593,2022-04-22,MSU16721,1
4594,2022-04-22,MSU16870,1
4595,2022-04-22,MSU16867,1
4596,2022-04-22,MSU16677,1
4597,2022-04-22,MSU16546,2
4598,2022-04-22,MSU16361,1
4599,2022-04-22,MSU16560,2
4600,2022-04-22,MSU16571,1
4601,2022-04-22,MSU16057,1
4602,2022-04-22,MSU16815,1
4603,2022-04-22,MSU16599,1
4604,2022-04-22,MSU16130,1
4605,2022-04-22,MSU16608,1
4606,2022-04-22,MSU16683,1
4607,2022-04-22,MSU16578,1
4608,2022-04-22,MSU16611,1
4609,2022-04-22,MSU16627,1
4610,2022-04-22,MSU16466,1
4611,2022-04-22,MSU13443,1
4612,2022-04-22,MSU16762,1
4613,2022-04-22,MSU16624,3
4614,2022-04-22,MSU15432,1
4615,2022-04-22,MSU16607,2
4616,2022-04-22,MSU16813,1
4617,2022-04-22,MSU16879,1
4618,2022-04-22,MSU16655,1
4619,2022-04-22,MSU16863,2
4620,2022-04-22,MSU16601,1
4621,2022-04-22,MSU15342,1
4622,2022-04-22,MSU16233,1
